project_id,project_name,project_type,department,sponsor,project_manager,priority,strategic_alignment,business_impact,status,schedule_health,start_date,planned_end_date,actual_end_date,completion_percentage,budget,actual_cost,forecast_cost,is_completed,is_delayed,is_over_budget,is_forecast_over_budget,days_until_due,project_delay_days,total_milestones,completed_milestones,overdue_milestones,total_milestone_delay_days,total_overdue_delay_days,milestone_completion_rate,total_risks,open_risks,high_risks,escalated_risks,portfolio_risk_exposure,max_risk_score,budget_variance,forecast_variance,cost_overrun_percentage,budget_status,budget_variance_category,risk_exposure_flag,traffic_light_status,requires_executive_attention
PMO-0001,Operations Process Standardization,Process Improvement,Operations,Tommy Walter,Noah Rhodes,Medium,Medium,High,Completed,Completed,2025-11-10,2026-05-29,2026-05-17,100,265000,264951.25,264951.25,True,False,False,False,-39,0,5,5,0,45,0,100.0,1,0,0,0,0,8,48.75,48.75,0.0,Within Budget,Within Budget,Low,Green,False
PMO-0002,Operations Audit Readiness Program,Compliance Initiative,Operations,Justin Baker,Gabrielle Davis,Medium,High,Medium,Active,On Track,2026-07-04,2027-07-22,,5,465000,5764.98,427953.11,False,False,False,False,380,0,6,0,0,0,0,0.0,4,3,1,0,29,20,459235.02,37046.89,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0003,Finance Workflow Optimization,Process Improvement,Finance,Margaret Hawkins DDS,Noah Rhodes,Low,High,High,Active,On Track,2026-04-10,2026-12-15,,39,500000,318235.23,555195.13,False,False,False,True,161,0,6,1,1,21,17,16.67,3,3,0,0,26,12,181764.77,-55195.13,0.0,Within Budget,Forecast Over Budget,Medium,Yellow,False
PMO-0004,IT Service Performance Initiative,Customer Experience,IT,Judy Baker,Ryan Munoz,Medium,Low,High,Completed,Completed,2025-03-18,2026-01-22,2025-09-27,100,215000,243644.24,243644.24,True,False,True,True,-166,0,7,7,0,76,0,100.0,2,0,0,0,0,12,-28644.24,-28644.24,13.32,Over Budget,Over Budget,Low,Red,True
PMO-0005,Engineering Digital Control Tower,Digital Transformation,Engineering,Ethan Adams,Monica Herrera,High,Medium,High,Cancelled,Cancelled,2025-09-23,2026-05-04,,34,260000,29478.78,29478.78,False,False,False,False,-64,0,5,1,4,667,667,20.0,4,1,3,0,15,25,230521.22,230521.22,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0006,IT Control Review Initiative,Compliance Initiative,IT,Lisa Jackson,Angie Henderson,Medium,Medium,High,Active,On Track,2025-11-02,2026-12-13,,53,410000,206378.34,412658.76,False,False,False,True,159,0,7,0,4,482,482,0.0,3,3,1,1,42,25,203621.66,-2658.76,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0007,Manufacturing Control Review Initiative,Compliance Initiative,Manufacturing,Holly Wood,Daniel Wagner,High,Low,Medium,Completed,Completed,2025-12-31,2026-04-13,2026-01-08,100,710000,752530.83,752530.83,True,False,True,True,-85,0,4,4,0,10,0,100.0,2,1,1,0,12,20,-42530.83,-42530.83,5.99,Over Budget,Over Budget,High,Red,True
PMO-0008,IT Control Review Initiative,Compliance Initiative,IT,Lisa Jackson,Jamie Arnold,High,Medium,High,Completed,Completed,2026-06-28,2027-04-01,2026-07-05,100,350000,357972.3,357972.3,True,False,True,True,268,0,6,6,0,0,0,100.0,0,0,0,0,0,0,-7972.3,-7972.3,2.28,Over Budget,Over Budget,Low,Red,True
PMO-0009,Customer Service Performance Management Upgrade,Operational Excellence,Customer Service,Holly Wood,Lisa Hensley,Medium,High,High,Active,On Track,2026-03-17,2026-12-02,,36,340000,128007.16,378810.49,False,False,False,True,148,0,7,1,2,135,127,14.29,2,2,0,0,17,12,211992.84,-38810.49,0.0,Within Budget,Forecast Over Budget,Medium,Red,True
PMO-0010,Quality Performance Management Upgrade,Operational Excellence,Quality,Tommy Walter,Michele Williams,High,Low,Medium,Completed,Completed,2025-04-08,2026-01-05,2025-12-03,100,1160000,1050725.15,1050725.15,True,False,False,False,-183,0,6,6,0,59,0,100.0,2,1,1,0,4,20,109274.85,109274.85,0.0,Within Budget,Within Budget,High,Red,True
PMO-0011,Operations Data Governance Framework,Data Governance,Operations,Justin Baker,Dylan Miller,Critical,Medium,Low,Completed,Completed,2026-01-16,2026-05-28,2026-02-25,100,1000000,966857.86,966857.86,True,False,False,False,-40,0,6,6,0,51,0,100.0,2,1,0,0,6,9,33142.14,33142.14,0.0,Within Budget,Within Budget,Medium,Yellow,False
PMO-0012,Quality Master Data Quality Program,Data Governance,Quality,Derek Zuniga,Connie Lawrence,Medium,Medium,Medium,Not Started,Not Started,2026-11-04,2027-06-19,,0,1115000,20424.67,1181481.31,False,False,False,True,347,0,6,0,0,0,0,0.0,2,2,0,0,17,12,1094575.33,-66481.31,0.0,Within Budget,Forecast Over Budget,Medium,Yellow,False
PMO-0013,Manufacturing Process Standardization,Process Improvement,Manufacturing,Carla Gray,Daniel Wagner,Low,High,Low,Active,On Track,2025-12-30,2026-11-20,,50,810000,490611.96,896949.53,False,False,False,True,136,0,7,1,3,244,244,14.29,3,3,0,1,13,8,319388.04,-86949.53,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0014,Operations Data Visibility Platform,Digital Transformation,Operations,Ethan Adams,Gabrielle Davis,Critical,High,Medium,Cancelled,Cancelled,2026-06-14,2026-10-02,,73,315000,41010.72,41010.72,False,False,False,False,87,0,5,1,1,5,5,20.0,3,1,0,1,2,6,273989.28,273989.28,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0015,Customer Service Operational Excellence Program,Operational Excellence,Customer Service,Judy Baker,Monica Herrera,High,High,Low,Not Started,Not Started,2026-08-08,2027-02-01,,0,705000,21415.96,676576.83,False,False,False,False,209,0,7,0,0,0,0,0.0,0,0,0,0,0,0,683584.04,28423.17,0.0,Within Budget,Under Budget >10%,Low,Green,False
PMO-0016,Procurement Digital Control Tower,Digital Transformation,Procurement,Lisa Jackson,Allison Hill,High,High,Medium,Completed,Completed,2025-09-20,2026-01-05,2026-02-17,100,1210000,1059984.97,1059984.97,True,False,False,False,-183,0,4,4,0,33,0,100.0,2,1,0,0,6,6,150015.03,150015.03,0.0,Within Budget,Under Budget >10%,Medium,Yellow,False
