risk_id,project_id,risk_category,risk_description,probability,impact,risk_score,risk_level,risk_owner,mitigation_plan,status,date_identified,is_open_risk,is_high_risk,is_escalated,open_risk_score
RISK-PMO-0001-01,PMO-0001,Compliance,Data quality issues may delay reporting readiness.,4,2,8,Medium,Noah Rhodes,Escalate blocker during PMO review meeting.,Closed,2025-11-28,False,False,False,0
RISK-PMO-0002-01,PMO-0002,Scope,Process owners may not complete validation on schedule.,2,3,6,Medium,Gabrielle Davis,Escalate blocker during PMO review meeting.,Mitigation In Progress,2026-07-07,True,False,False,6
RISK-PMO-0002-02,PMO-0002,Schedule,Budget consumption may exceed the approved plan.,1,3,3,Low,Gabrielle Davis,Assign dedicated owner and review weekly.,Mitigation In Progress,2026-07-07,True,False,False,3
RISK-PMO-0002-03,PMO-0002,Compliance,Operational workload may limit project execution capacity.,4,5,20,High,Gabrielle Davis,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2026-07-07,True,True,False,20
RISK-PMO-0002-04,PMO-0002,Technology,Process owners may not complete validation on schedule.,3,2,6,Medium,Gabrielle Davis,Increase reporting cadence until risk is reduced.,Closed,2026-07-07,False,False,False,0
RISK-PMO-0003-01,PMO-0003,Technology,Supplier response time may affect delivery dates.,4,1,4,Low,Noah Rhodes,Increase reporting cadence until risk is reduced.,Open,2026-05-30,True,False,False,4
RISK-PMO-0003-02,PMO-0003,Technology,Operational workload may limit project execution capacity.,2,5,10,Medium,Noah Rhodes,Escalate blocker during PMO review meeting.,Mitigation In Progress,2026-04-16,True,False,False,10
RISK-PMO-0003-03,PMO-0003,Resource,Budget consumption may exceed the approved plan.,4,3,12,Medium,Noah Rhodes,Validate assumptions with process owners.,Mitigation In Progress,2026-04-23,True,False,False,12
RISK-PMO-0004-01,PMO-0004,Operational,Compliance requirements may require additional documentation.,3,4,12,Medium,Ryan Munoz,Assign dedicated owner and review weekly.,Closed,2025-05-08,False,False,False,0
RISK-PMO-0004-02,PMO-0004,Supplier,Process owners may not complete validation on schedule.,2,3,6,Medium,Ryan Munoz,Validate assumptions with process owners.,Closed,2025-03-27,False,False,False,0
RISK-PMO-0005-01,PMO-0005,Compliance,Data quality issues may delay reporting readiness.,5,5,25,High,Monica Herrera,Validate assumptions with process owners.,Closed,2025-10-05,False,True,False,0
RISK-PMO-0005-02,PMO-0005,Supplier,System integration complexity may increase implementation effort.,5,3,15,High,Monica Herrera,Increase reporting cadence until risk is reduced.,Accepted,2025-10-18,True,True,False,15
RISK-PMO-0005-03,PMO-0005,Compliance,Process owners may not complete validation on schedule.,5,1,5,Low,Monica Herrera,Review budget and timeline impact with sponsor.,Closed,2025-10-10,False,False,False,0
RISK-PMO-0005-04,PMO-0005,Compliance,Operational workload may limit project execution capacity.,5,4,20,High,Monica Herrera,Create corrective action plan with target completion date.,Closed,2025-11-27,False,True,False,0
RISK-PMO-0006-01,PMO-0006,Compliance,Compliance requirements may require additional documentation.,2,4,8,Medium,Angie Henderson,Increase reporting cadence until risk is reduced.,Accepted,2025-12-10,True,False,False,8
RISK-PMO-0006-02,PMO-0006,Technology,Key stakeholder decisions may be delayed.,5,5,25,High,Angie Henderson,Escalate blocker during PMO review meeting.,Mitigation In Progress,2026-01-13,True,True,False,25
RISK-PMO-0006-03,PMO-0006,Quality,Key stakeholder decisions may be delayed.,3,3,9,Medium,Angie Henderson,Increase reporting cadence until risk is reduced.,Escalated,2025-12-25,True,False,True,9
RISK-PMO-0007-01,PMO-0007,Scope,Key stakeholder decisions may be delayed.,4,3,12,Medium,Daniel Wagner,Increase reporting cadence until risk is reduced.,Open,2026-03-15,True,False,False,12
RISK-PMO-0007-02,PMO-0007,Operational,System integration complexity may increase implementation effort.,5,4,20,High,Daniel Wagner,Review budget and timeline impact with sponsor.,Closed,2026-03-21,False,True,False,0
RISK-PMO-0009-01,PMO-0009,Schedule,Process owners may not complete validation on schedule.,1,5,5,Low,Lisa Hensley,Create corrective action plan with target completion date.,Accepted,2026-03-31,True,False,False,5
RISK-PMO-0009-02,PMO-0009,Stakeholder,Compliance requirements may require additional documentation.,3,4,12,Medium,Lisa Hensley,Create corrective action plan with target completion date.,Open,2026-06-13,True,False,False,12
